Time,Spot,Strike,Call Option Price
0.083333333,3540.00,2832.00,708.45
0.083333333,3540.00,3186.00,357.05
0.083333333,3540.00,3363.00,184.24
0.083333333,3540.00,3451.50,103.33
0.083333333,3540.00,3540.00,38.28
0.083333333,3540.00,3628.50,7.16
0.083333333,3540.00,3717.00,0.89
0.083333333,3540.00,3894.00,0.01
0.083333333,3540.00,4248.00,0.00
0.166666667,3540.00,2832.00,710.03
0.166666667,3540.00,3186.00,362.26
0.166666667,3540.00,3363.00,197.35
0.166666667,3540.00,3451.50,122.94
0.166666667,3540.00,3540.00,61.97
0.166666667,3540.00,3628.50,23.32
0.166666667,3540.00,3717.00,6.42
0.166666667,3540.00,3894.00,0.33
0.166666667,3540.00,4248.00,0.00
0.25,3540.00,2832.00,712.65
0.25,3540.00,3186.00,369.69
0.25,3540.00,3363.00,211.10
0.25,3540.00,3451.50,140.25
0.25,3540.00,3540.00,80.70
0.25,3540.00,3628.50,38.45
0.25,3540.00,3717.00,14.71
0.25,3540.00,3894.00,1.21
0.25,3540.00,4248.00,0.01
0.5,3540.00,2832.00,725.47
0.5,3540.00,3186.00,398.29
0.5,3540.00,3363.00,252.24
0.5,3540.00,3451.50,187.79
0.5,3540.00,3540.00,131.67
0.5,3540.00,3628.50,85.92
0.5,3540.00,3717.00,51.87
0.5,3540.00,3894.00,14.73
0.5,3540.00,4248.00,0.63
0.75,3540.00,2832.00,738.68
0.75,3540.00,3186.00,424.48
0.75,3540.00,3363.00,286.83
0.75,3540.00,3451.50,225.87
0.75,3540.00,3540.00,171.73
0.75,3540.00,3628.50,125.45
0.75,3540.00,3717.00,87.83
0.75,3540.00,3894.00,37.69
0.75,3540.00,4248.00,4.33
1,3540.00,2832.00,754.66
1,3540.00,3186.00,452.60
1,3540.00,3363.00,321.07
1,3540.00,3451.50,262.52
1,3540.00,3540.00,209.67
1,3540.00,3628.50,163.23
1,3540.00,3717.00,123.57
1,3540.00,3894.00,65.21
1,3540.00,4248.00,13.37
1.5,3540.00,2832.00,787.77
1.5,3540.00,3186.00,504.21
1.5,3540.00,3363.00,381.65
1.5,3540.00,3451.50,326.61
1.5,3540.00,3540.00,276.13
1.5,3540.00,3628.50,230.28
1.5,3540.00,3717.00,189.58
1.5,3540.00,3894.00,123.17
1.5,3540.00,4248.00,43.87
2,3540.00,2832.00,815.44
2,3540.00,3186.00,546.01
2,3540.00,3363.00,429.97
2,3540.00,3451.50,377.26
2,3540.00,3540.00,328.60
2,3540.00,3628.50,283.92
2,3540.00,3717.00,243.30
2,3540.00,3894.00,174.41
2,3540.00,4248.00,81.36
3,3540.00,2832.00,870.29
3,3540.00,3186.00,620.63
3,3540.00,3363.00,512.26
3,3540.00,3451.50,462.77
3,3540.00,3540.00,416.28
3,3540.00,3628.50,372.83
3,3540.00,3717.00,332.68
3,3540.00,3894.00,261.96
3,3540.00,4248.00,155.84
4,3540.00,2832.00,920.32
4,3540.00,3186.00,683.65
4,3540.00,3363.00,580.31
4,3540.00,3451.50,532.78
4,3540.00,3540.00,487.88
4,3540.00,3628.50,445.63
4,3540.00,3717.00,406.01
4,3540.00,3894.00,334.88
4,3540.00,4248.00,222.47
5,3540.00,2832.00,970.92
5,3540.00,3186.00,745.57
5,3540.00,3363.00,646.69
5,3540.00,3451.50,600.75
5,3540.00,3540.00,557.18
5,3540.00,3628.50,515.96
5,3540.00,3717.00,477.09
5,3540.00,3894.00,405.96
5,3540.00,4248.00,290.36
7,3540.00,2832.00,1072.76
7,3540.00,3186.00,865.74
7,3540.00,3363.00,774.14
7,3540.00,3451.50,731.00
7,3540.00,3540.00,689.85
7,3540.00,3628.50,650.68
7,3540.00,3717.00,613.47
7,3540.00,3894.00,544.11
7,3540.00,4248.00,425.97
10,3540.00,2832.00,1212.25
10,3540.00,3186.00,1025.14
10,3540.00,3363.00,941.18
10,3540.00,3451.50,901.56
10,3540.00,3540.00,863.22
10,3540.00,3628.50,826.55
10,3540.00,3717.00,791.54
10,3540.00,3894.00,725.12
10,3540.00,4248.00,608.39
